Rowid;Kod;MenuEleman;Aciklama;sync_status;updated_at
ed4AuhA0;Marka;DR-RAD;;clean;
1602bb43;Marka;Drager;;clean;
SMdSO844;Marka;DRGEM;;clean;
r4wzTteZ;Marka;FUJİFİLM;;clean;
jrUpK7dM;Marka;Gammacell;;clean;
4d2dnGzS;Marka;General Electic;;clean;
LCIYfiAW;Marka;Gıotto;;clean;
VHj6u5gk;Marka;Leksell;;clean;
8b197682;Marka;Mindray;;clean;
UPc4lKWD;Marka;Neurologica;;clean;
tfeHJ9G8;Marka;Philps;;clean;
ftiSFDPj;Marka;Samsung;;clean;
kPNNOGum;Marka;Shimadzu;;clean;
C6dK3m2G;Marka;Siemens;;clean;
tHrnLKzl;Marka;Toshiba;;clean;
9f1ada64;Marka;Üzümcü;;clean;
5yplCAwF;Marka;Ziehm;;clean;
b3054d0b;Sistem_DriveID;Ariza_Raporlari;1ZrpeqPU6-lFN7Nhisg3SdO7QN7IvIkn3;clean;
fb3bdbc4;Sistem_DriveID;Cihaz_Kunye;19kx3IHTg4XWrYrF-_LzT3BpY5gRy-CH5;clean;
b1c78058;Sistem_DriveID;Cihaz_Resim;1-PznDkBqOHTbE3rWBlS8g2HjZXaK6Sdh;clean;
d70d5f65;Sistem_DriveID;Kalibrasyon_Raporlari;1VNVa0ZMfadpgAqJE6wfvkAw0XIHDv4-J;clean;
8050ce40;Sistem_DriveID;Cihaz_Lisanslar;1eOq_NfrjN_XwKirUuX_0uyOonk137HjF;clean;
b1c78060;Sistem_DriveID;Personel_Diploma;1YlFMqoKwcSsB_fv9osU3sWsTlAlGHF3L;clean;
b1c78059;Sistem_DriveID;Personel_Dosya;1R7EjtH9gg9hgaJbCrqRX9DBdEHtmCPNN;clean;
94fc2d66;Sistem_DriveID;Personel_Resim;1GLp4IongyBjr0yPd789ryrFdN2Ml6yCG;clean;
e789b09e;Sistem_DriveID;RKE_Raporlari;1tRoXh5eMUGWUFw0mG9CKvyWxWg5kdxGi;clean;
b1c78061;Sistem_DriveID;Eski_Personel_Dosyalari;1j9Tyw21yV-wtOcSUr_SO9gULxaPUjOBa;clean;
;Sistem_DriveID;RKE_Muayene;;clean;
b1c78062;Ariza_Durum;İşlemde;;clean;
b1c78063;Ariza_Durum;Parça Bekliyor;;clean;
b1c78064;Ariza_Durum;Dış Serviste;;clean;
b1c78065;Ariza_Durum;Kapalı (Çözüldü);;clean;
b1c78066;Ariza_Durum;Kapalı (İptal);;clean;
b1c78067;Ariza_Islem_Turu;Arıza Tespiti / İnceleme;;clean;
b1c78068;Ariza_Islem_Turu;Onarım / Tamirat;;clean;
b1c78069;Ariza_Islem_Turu;Parça Değişimi;;clean;
b1c78070;Ariza_Islem_Turu;Yazılım Güncelleme;;clean;
b1c78071;Ariza_Islem_Turu;Kalibrasyon;;clean;
b1c78072;Ariza_Islem_Turu;Dış Servis Gönderimi;;clean;
b1c78073;Ariza_Islem_Turu;Kapatma / Sonlandırma;;clean;
b1c78074;Sistem_DriveID;Saglik_Raporlari;1CAa2cb7PWGXMPkvofBWq1y45SANOjXtq;clean;
