EkipmanNo,KoruyucuNumarasi,AnaBilimDali,Birim,KoruyucuCinsi,KursunEsdegeri,HizmetYili,Bedeni,KontrolTarihi,Durum,Aciklama,VarsaDemirbasNo,KayitTarih,Barkod,sync_status,updated_at
RKE-O-7,ORT-AML-Ö-46,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,S,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-88; Koruyucu No: ANZ-SRV-Ö-12; Durum: ; Kontrol Tarihi:; Gelecek Kontrol Tarihi:NaN/NaN/0NaN&eclevel=L&dmsize=Default,clean,
RKE-O-70,NRŞ-AML-Ö-15,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-70; Koruyucu No: NRŞ-AML-Ö-15; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-71,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-KG-24; Koruyucu No: NRŞ-AML-KG-2; Durum: Muayene Edilmedi; Kontrol Tarihi:01/02/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-72,NRŞ-AML-Ö-16,Beyin ve Sinir Cerrahisi ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-72; Koruyucu No: NRŞ-AML-Ö-16; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-73,ORT-AML-Ö-47,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: CER-AEND-Ö-1; Durum: Kullanıma Uygun Değil; Kontrol Tarihi:01/10/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-74,CER-AEND-Ö-17,Genel Cerrahi ABD,Acil Endoskopi Ünitesi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-74; Koruyucu No: CER-AEND-Ö-17; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-75,CER-END-Ö-9,Genel Cerrahi ABD,Endoskopi Ünitesi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-75; Koruyucu No: CER-END-Ö-9; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-76,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: CER-AEND-Ö-4; Durum: Kullanıma Uygun; Kontrol Tarihi:01/10/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-77,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: CER-AEND-Ö-5; Durum: Kullanıma Uygun; Kontrol Tarihi:01/10/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-78,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: CER-AEND-Ö-6; Durum: Kullanıma Uygun Değil; Kontrol Tarihi:01/10/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-79,ORT-AML-Ö-48,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-8,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,S,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: CER-END-Ö-11; Durum: Kullanıma Uygun; Kontrol Tarihi:; Gelecek Kontrol Tarihi:01/31/0002&eclevel=L&dmsize=Default,clean,
RKE-O-80,,Radyoloji ABD,Radyoloji Depo,Palto (Önlük),,2024,M,,,,,,https://barcode.tec-it.com/barcode.ashx?code=MobileQRCode&data=RKE-O-231; Koruyucu No: CER-AEND-Ö-8; Durum: Kullanıma Uygun Değil; Kontrol Tarihi:01/10/2025; Gelecek Kontrol Tarihi:01/31/2026&eclevel=L&dmsize=Default,clean,
RKE-O-81,CER-END-Ö-10,Genel Cerrahi ABD,Endoskopi Ünitesi,Palto (Önlük),,2024,M,,,,,,https://api.qrserver.com/v1/create-qr-code/?size=150x150&data=RKE-O-81; Koruyucu No: CER-END-Ö-10; Durum: Kullanıma Uygun; Kontrol Tarihi:01/30/2025; Gelecek Kontrol Tarihi:01/31/2026,clean,
RKE-O-82,KRD-ANJ-Ö-10,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,M,,,,,,,clean,
RKE-O-83,ORT-AML-Ö-49,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-84,KRD-ANJ-Ö-11,Kardiyoloji ABD,Anjiografi,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-85,MDK-RAD-Ö-5,Mediko Sosyal Başhekimliği,Poliklinik,Palto (Önlük),,2024,L,,,,,,,clean,
RKE-O-86,ORT-AML-Ö-50,Ortopedi ve Travmatoloji ABD,Ameliyathane,Palto (Önlük),,2024,L,,,,,,,clean,
